"Licenced Businesses"
"OBJECTID","ADDRESS","COMDISTNM","COMDISTCD","GETBUSID","EXP_DT","FIRST_ISS_DT","JOBSTATUSDESC","TRADENAME","WEBLCNCTYPEDESC","GLOBALID","LOAD_DATE","HOMEOCCIND","GLOBALID_GUID","lookupDistance"
"23419","UNAVAILABLE","NEW BRIGHTON","NEB","16386922","1727251192000","1695715192000","Licensed","NEW BRIGHTON DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX457510224}","1697852496000","Y","null","2,891.23"
"21965","UNAVAILABLE","NEW BRIGHTON","NEB","16270480","1705296698000","1673847098000","Pending Renewal","BRIGHTEN YOUR DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413278613}","1697852496000","Y","null","2,891.23"
"25772","UNAVAILABLE","NEW BRIGHTON","NEB","16281925","1707111024000","1675661424000","Licensed","LITTLE STARS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX416806189}","1697852496000","Y","null","2,891.23"
"26264","UNAVAILABLE","NEW BRIGHTON","NEB","16288417","1707802212000","1676352612000","Licensed","FUZZY LLAMA DAYHOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX418472680}","1697852496000","Y","null","2,891.23"
"26312","UNAVAILABLE","NEW BRIGHTON","NEB","16291312","1708407028000","1676957428000","Licensed","DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX419190899}","1697852496000","Y","null","2,891.23"
"26335","UNAVAILABLE","NEW BRIGHTON","NEB","16288094","1707715845000","1676266245000","Licensed","MELANIES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX418414955}","1697852496000","Y","null","2,891.23"
"26326","UNAVAILABLE","NEW BRIGHTON","NEB","16274862","1705901426000","1674451826000","Licensed","POLKA DOT DOOR DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX414569476}","1697852496000","Y","null","2,891.23"
"33491","UNAVAILABLE","NEW BRIGHTON","NEB","16276420","1708508242000","1677058642000","Licensed","SARAH MOHAMMAD","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415194207}","1697852496000","Y","null","2,891.23"
"26440","UNAVAILABLE","NEW BRIGHTON","NEB","16266645","1707147246000","1675697646000","Licensed","IN SHARONS CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412307575}","1697852496000","Y","null","2,891.23"
"25461","UNAVAILABLE","NEW BRIGHTON","NEB","16304867","1711184513000","1679648513000","Licensed","KOALA BEAR DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX423129148}","1697852496000","Y","null","2,891.23"
"23589","UNAVAILABLE","NEW BRIGHTON","NEB","16265571","1705412971000","1673963371000","Pending Renewal","LITTLE GIANTS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412017382}","1697852496000","Y","null","2,891.23"
"21474","UNAVAILABLE","NEW BRIGHTON","NEB","16268435","1705296675000","1673847076000","Pending Renewal","BUILDING BLOCKS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412716837}","1697852496000","Y","null","2,891.23"
"27788","UNAVAILABLE","NEW BRIGHTON","NEB","16264871","1704188631000","1672739031000","Pending Renewal","CHELSEYS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411916033}","1697852496000","Y","null","2,891.23"
"34778","UNAVAILABLE","NEW BRIGHTON","NEB","16266017","1704691830000","1673242230000","Pending Renewal","PRIYA'S PLAY AND LEARN DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412117287}","1697852496000","Y","null","2,891.23"
"27793","UNAVAILABLE","NEW BRIGHTON","NEB","16265027","1704188633000","1672739033000","Pending Renewal","LIL HUGS AND KISSES DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411954465}","1697852496000","Y","null","2,891.23"
"26302","UNAVAILABLE","NEW BRIGHTON","NEB","16266009","1709192601000","1677656601000","Licensed","LITTLE ANGELS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412104697}","1697852496000","Y","null","2,891.23"
"35725","UNAVAILABLE","NEW BRIGHTON","NEB","16270498","1705296698000","1673847098000","Pending Renewal","CARMENS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413280103}","1697852496000","Y","null","2,891.23"
"25863","UNAVAILABLE","COPPERFIELD","CPF","16298846","1709616650000","1678080650000","Licensed","NURTURE DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421133172}","1697852496000","Y","null","3,550.25"
"31932","UNAVAILABLE","COPPERFIELD","CPF","16278541","1708954054000","1677504454000","Licensed","TARUNA DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415744363}","1697852496000","Y","null","3,550.25"
"34333","UNAVAILABLE","COPPERFIELD","CPF","16266843","1704716717000","1673267117000","Pending Renewal","CHILD CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412342624}","1697852496000","Y","null","3,550.25"
"27790","UNAVAILABLE","COPPERFIELD","CPF","16264905","1704188632000","1672739032000","Pending Renewal","ANGELAS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411930899}","1697852496000","Y","null","3,550.25"
"22214","UNAVAILABLE","COPPERFIELD","CPF","16269342","1705296688000","1673847088000","Pending Renewal","HAPPY MOM'S PRIVATE DAY HOME (THE)","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413017169}","1697852496000","Y","null","3,550.25"
"32899","UNAVAILABLE","COPPERFIELD","CPF","16265308","1704691824000","1673242224000","Pending Renewal","CHRISTINA GUZES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411990254}","1697852496000","Y","null","3,550.25"
"34771","UNAVAILABLE","COPPERFIELD","CPF","16302614","1716993541000","1685457542000","Licensed","SPROUTS AND SEEDS COPPERFIELD DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX422140967}","1697852496000","Y","null","3,550.25"
"23590","UNAVAILABLE","COPPERFIELD","CPF","16265704","1705383006000","1673933406000","Pending Renewal","MONKEY TOES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412022491}","1697852496000","Y","null","3,550.25"
"32272","UNAVAILABLE","COPPERFIELD","CPF","16304511","1711016459000","1679480459000","Licensed","CHERYL'S DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX422918583}","1697852496000","Y","null","3,550.25"
"27374","UNAVAILABLE","COPPERFIELD","CPF","16264640","1704188626000","1672739026000","Pending Renewal","TINY ELEPHANT DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411898650}","1697852496000","Y","null","3,550.25"
"34215","UNAVAILABLE","COPPERFIELD","CPF","16309221","1712237417000","1680701417000","Licensed","NANCY'S COPPERFIELD DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424627379}","1697852496000","Y","null","3,550.25"
"34510","UNAVAILABLE","COPPERFIELD","CPF","16266728","1704691835000","1673242235000","Pending Renewal","NIKKIS LITTLE DREAMERS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412323382}","1697852496000","Y","null","3,550.25"
"33339","UNAVAILABLE","COPPERFIELD","CPF","16287336","1708412661000","1676963061000","Licensed","GROWING THINKERS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX418287724}","1697852496000","Y","null","3,550.25"
"34604","UNAVAILABLE","COPPERFIELD","CPF","16309775","1715166599000","1683630600000","Licensed","LITTLE TIGERS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424747706}","1697852496000","Y","null","3,550.25"
"32620","UNAVAILABLE","COPPERFIELD","CPF","16278376","1706506220000","1675056620000","Licensed","LINDSAYS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415696446}","1697852496000","Y","null","3,550.25"
"34856","UNAVAILABLE","COPPERFIELD","CPF","16266850","1704691836000","1673242236000","Pending Renewal","BAILEYS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412343021}","1697852496000","Y","null","3,550.25"
"33682","UNAVAILABLE","COPPERFIELD","CPF","16329815","1717219882000","1685683882000","Licensed","LITTLE HEARTS DAYHOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX433550622}","1697852496000","Y","null","3,550.25"
"34979","UNAVAILABLE","COPPERFIELD","CPF","16369860","1723008614000","1691472614000","Licensed","LULU KIDZ ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX449559357}","1697852496000","Y","null","3,550.25"
"32611","UNAVAILABLE","COPPERFIELD","CPF","16278665","1706506222000","1675056622000","Licensed","LIL JELLYBEANS IN COPPERFIELD","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415800277}","1697852496000","Y","null","3,550.25"
"36140","UNAVAILABLE","COPPERFIELD","CPF","16353088","1719898279000","1688362280000","Licensed","NATALIE'S DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX443051416}","1697852496000","Y","null","3,550.25"
"25692","UNAVAILABLE","COPPERFIELD","CPF","16305864","1712219567000","1680683567000","Licensed","COPPERFIELD BEFORE AND AFTER SCHOOL CARE DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX423440357}","1697852496000","Y","null","3,550.25"
"25944","UNAVAILABLE","COPPERFIELD","CPF","16299570","1714046074000","1682510075000","Licensed","ANCHORS AWAY DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421265482}","1697852496000","Y","null","3,550.25"
"33192","UNAVAILABLE","COPPERFIELD","CPF","16297038","1708925416000","1677475816000","Licensed","LADYBUG LANE CHILDCARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX420508767}","1697852496000","Y","null","3,550.25"
"32937","UNAVAILABLE","COPPERFIELD","CPF","16315996","1713504779000","1681968779000","Licensed","SHARON'S CHILDCARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX427414605}","1697852496000","Y","null","3,550.25"
"30616","UNAVAILABLE","COPPERFIELD","CPF","16265290","1705296666000","1673847066000","Pending Renewal","CHRISTINAS DAYHOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411989679}","1697852496000","Y","null","3,550.25"
"25720","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16279226","1706506225000","1675056625000","Licensed","CHRISTINES HOME-BASED CHILD CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX416021950}","1697852496000","Y","null","4,046.94"
"33200","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16284895","1707111038000","1675661438000","Licensed","ROYCROFT DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX417540698}","1697852496000","Y","null","4,046.94"
"33821","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16304057","1712061824000","1680525824000","Licensed","LEAS JUST LIKE HOME CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX422715556}","1697852496000","Y","null","4,046.94"
"25460","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16308900","1711526839000","1679990839000","Licensed","KYLA GIMBLETT ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424542637}","1697852496000","Y","null","4,046.94"
"36463","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16267718","1704691839000","1673242239000","Pending Renewal","SONIKAS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412499846}","1697852496000","Y","null","4,046.94"
